"","OTU","Sample","Abundance","Condition","Site","Time","Condition_time","Condition_site","Kingdom","Phylum"
"787","x1938","X3300045968_PreDrought_Site3_48hr",0.034722234475733,"PreDrought","Site3","48hr","PreDrought_48hr","PreDrought_Site3","Bacteria","Actinobacteria"
"1476","x2777","X3300045978_Drought_Site1_48hr",0.0344173924474347,"Drought","Site1","48hr","Drought_48hr","Drought_Site1","Bacteria","Chloroflexi"
"1409","x2741","X3300045964_Drought_Site1_6hr",0.0340237422561826,"Drought","Site1","6hr","Drought_6hr","Drought_Site1","Bacteria","Planctomycetes"
"1472","x2777","X3300045975_PreDrought_Site1_6hr",0.0338526943031576,"PreDrought","Site1","6hr","PreDrought_6hr","PreDrought_Site1","Bacteria","Chloroflexi"
"779","x1938","X3300045953_Drought_Site3_48hr",0.0336005950500682,"Drought","Site3","48hr","Drought_48hr","Drought_Site3","Bacteria","Actinobacteria"
"1139","x2223","X3300045955_Drought_Site3_0hr",0.032829368501155,"Drought","Site3","0hr","Drought_0hr","Drought_Site3","Bacteria","Verrucomicrobia"
"1416","x2741","X3300045940_Drought_Site1_0hr",0.0322118516020459,"Drought","Site1","0hr","Drought_0hr","Drought_Site1","Bacteria","Planctomycetes"
"1442","x2777","X3300045920_PreDrought_Site1_48hr",0.03208829364803,"PreDrought","Site1","48hr","PreDrought_48hr","PreDrought_Site1","Bacteria","Chloroflexi"
"1119","x2223","X3300049733_Drought_Site2_48hr",0.0319108632661685,"Drought","Site2","48hr","Drought_48hr","Drought_Site2","Bacteria","Verrucomicrobia"
"905","x2038","X3300049732_PreDrought_0hr",0.0315290878740012,"PreDrought","Site2","0hr","PreDrought_0hr","PreDrought_Site2","Bacteria","Nitrospirae"
"901","x2038","X3300045933_PreDrought_Site2_48hr",0.0314685851840385,"PreDrought","Site2","48hr","PreDrought_48hr","PreDrought_Site2","Bacteria","Nitrospirae"
"1469","x2777","X3300045884_Drought_Site1_6hr",0.0311129388194515,"Drought","Site1","6hr","Drought_6hr","Drought_Site1","Bacteria","Chloroflexi"
"933","x2038","X3300045952_Drought_Site2_6hr",0.030333212134159,"Drought","Site2","6hr","Drought_6hr","Drought_Site2","Bacteria","Nitrospirae"
"928","x2038","X3300049731_Drought_Site1_48hr",0.0303271823457539,"Drought","Site1","48hr","Drought_48hr","Drought_Site1","Bacteria","Nitrospirae"
"1415","x2741","X3300045928_PreDrought_Site1_0hr",0.0302486274544614,"PreDrought","Site1","0hr","PreDrought_0hr","PreDrought_Site1","Bacteria","Planctomycetes"
"1133","x2223","X3300045941_PreDrought_Site2_0hr",0.0302139304690503,"PreDrought","Site2","0hr","PreDrought_0hr","PreDrought_Site2","Bacteria","Verrucomicrobia"
