"","Label","Time","Time_Flux"
"1288","S1P4.C2","time",0.94854
"1289","S1P4.C2","Flux",0.01255
"1290","S1P6.C2","time",0.94044
"1291","S1P6.C2","Flux",0.01406
"1292","S2P8.C2","time",0.68704
"1293","S2P4.C2","time",0.90262
"1294","S2P4.C2","Flux",0.00574
"1295","S2P6.C2","time",1.00938
"1296","S2P6.C2","Flux",0.00943
"1297","S3P2.C2","time",0.9244
"1298","S3P2.C2","Flux",0.00138
"1299","S3P4.C2","time",0.8927
"1300","S3P4.C2","Flux",0.02146
"1301","S3P6.C2","time",1.04316
"1302","S3P6.C2","Flux",0.01058
"1303","S1P1.C1","time",0.90922
"1304","S1P1.C1","Flux",-0.00452
"1305","S1P3.C1","time",0.94025
"1306","S1P3.C1","Flux",-0.00359
"1307","S1P5.C1","time",-0.99928
"1308","S1P5.C1","Flux",-0.00171
"1309","S2P1.C1","time",0.90243
"1310","S2P1.C1","Flux",-0.00407
"1311","S2P3.C1","time",1.00672
"1312","S2P3.C1","Flux",-0.01526
"1313","S2P7.C1","time",0.70483
"1314","S3P1.C1","time",0.85333
"1315","S3P1.C1","Flux",0.00758
"1316","S3P3.C1","time",0.98595
"1317","S3P3.C1","Flux",0.000785
"1318","S3P5.C1","time",0.95986
"1319","S3P5.C1","Flux",0.016
"1320","S1P2.C2","time",-0.98481
"1321","S1P2.C2","Flux",0.01152
"1322","S1P4.C2","time",1.02135
"1323","S1P4.C2","Flux",0.01083
"1324","S1P6.C2","time",1.02112
"1325","S1P6.C2","Flux",0.00745
"1326","S2P8.C2","time",0.71196
"1327","S2P8.C2","Flux",0.00422
"1328","S2P4.C2","time",0.94181
"1329","S2P4.C2","Flux",-0.00473
"1330","S2P6.C2","time",1.0522
"1331","S2P6.C2","Flux",0.006
"1332","S3P2.C2","time",0.96006
"1333","S3P2.C2","Flux",-0.00502
"1334","S3P4.C2","time",0.92836
"1335","S3P4.C2","Flux",-0.00223
"1336","S3P6.C2","time",1.08949
"1337","S3P6.C2","Flux",0.00516
"1338","S1P1.C1","time",0.94838
"1339","S1P1.C1","Flux",-0.01737
"1340","S1P3.C1","time",0.97589
"1341","S1P3.C1","Flux",0.00668
"1342","S1P5.C1","time",-0.98501
"1343","S1P5.C1","Flux",-0.01427
"1344","S2P1.C1","time",0.94162
"1345","S2P1.C1","Flux",0.00772
"1346","S2P3.C1","time",1.04954
"1347","S2P3.C1","Flux",-9e-04
"1348","S2P7.C1","time",0.72618
"1349","S2P7.C1","Flux",-0.01095
"1350","S3P1.C1","time",0.89252
"1351","S3P1.C1","Flux",0.00629
"1352","S3P3.C1","time",1.0287
"1353","S3P3.C1","Flux",0.00653
"1354","S3P5.C1","time",1.00684
"1355","S3P5.C1","Flux",-0.00113
"1356","S1P2.C2","time",-0.97057
"1357","S1P2.C2","Flux",-0.000611
"1358","S1P4.C2","time",1.06413
"1359","S1P4.C2","Flux",-0.01316
